id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
169963,https://batdongsan.vn/chinh-chu-can-cho-thue-nha-tai-95153-thuy-linh-hoang-mai-ha-noi-r169963,CHÍNH CHỦ CẦN CHO THUÊ NHÀ TẠI 95/153 THÚY LĨNH - HOÀNG MAI - HÀ NỘI,"Hoàng Mai, Hà Nội",3600,90.0,2.0,2.0,2.0,False,5.5
169997,https://batdongsan.vn/cho-thue-nha-nguyen-can-moi-xay-duong-tran-quoc-tuan-go-vap-r169997,CHO THUÊ NHÀ NGUYÊN CĂN MỚI XÂY  ĐƯỜNG TRẦN QUỐC TUẤN-  GÒ VẤP,"Gò Vấp, Hồ Chí Minh",3600,94.0,5.0,6.0,2.0,False,35.0
169835,https://batdongsan.vn/cho-thue-toa-mp-ngo-xuan-quanggia-lam-ha-noi-110m2x6t-thang-may-tang-ham-pccc-vi-tri-kd-r169835,"Cho thuê t.òa M.P Ngô Xuân Quảng.Gia Lâm, Hà Nội, 110m2x6T,  thang máy, tầng hầm, PCCC vị trí KD","Gia Lâm, Hà Nội",3600,110.0,6.0,11.0,6.0,False,11.0
168474,https://batdongsan.vn/cho-thue-nha-ly-son-chi-7-trieuthang-nha-co-gac-xep-rong-sach-dep-kinh-doanh-cuc-tot-r168474,"CHO THUÊ NHÀ LÝ SƠN – CHỈ 7 TRIỆU/THÁNG NHÀ CÓ GÁC XÉP RỘNG, SẠCH ĐẸP – KINH DOANH CỰC TỐT","Long Biên, Hà Nội",3600,75.0,,2.0,,False,7.0
169964,https://batdongsan.vn/toi-cho-thue-nha-moi-hai-cua-di-100m2-5t-via-he-minh-khai-31-tr-r169964,"'Tôi cho thuê nhà mới, hai cửa đi, 100m2_ 5T; vỉa hè, Minh Khai-31 Tr","Hai Bà Trưng, Hà Nội",3600,100.0,,,5.0,False,31.0
169968,https://batdongsan.vn/toi-cho-thue-nha-moi-lo-gocvia-he-117m2-4t-pho-hoang-quoc-viet-45-tr-r169968,"Tôi cho thuê nhà mới, lô góc,vỉa hè, 117m2- 4T, Phố Hoàng Quốc Việt_45 Tr","Cầu Giấy, Hà Nội",3600,117.0,,,4.0,False,45.0
170021,https://batdongsan.vn/cho-thue-nha-hang-vp-kd-thang-mayvia-he-115m2-5t-pho-nguyen-thi-dinh-45-tr-r170021,"Cho thuê Nhà hàng, VP, KD, thang máy,vỉa hè, 115m2- 5T, Phố Nguyễn Thị Định_45 Tr","Cầu Giấy, Hà Nội",3600,115.0,,,5.0,False,45.0
169826,https://batdongsan.vn/cho-thue-nha-mat-tien-xuan-dieu-r169826,🆘 ✨CHO THUÊ NHÀ MẶT TIỀN XUÂN DIỆU✨,"Huế, Thừa Thiên Huế",3600,150.0,,,,True,8.0
169974,https://batdongsan.vn/54-nha-6-trieu-3-phong-ngu-hem-50-quang-trung-r169974,54. Nhà 6 triêụ 3 phòng ngủ hẻm 50 Quang Trung,"Ninh Kiều, Cần Thơ",3600,70.0,3.0,1.0,,False,5.0
169927,https://batdongsan.vn/goc-2-mat-tien-mat-bang-moi-vcn-phuoc-hai-kinh-doanh-cuc-dep-r169927,Góc 2 mặt tiền – Mặt bằng mới – VCN Phước Hải – Kinh doanh cực đẹp,"Nha Trang, Khánh Hòa",3600,160.0,2.0,2.0,3.0,True,40.0
169788,https://batdongsan.vn/cho-thue-bt-goc-2mt-ven-song-q2-430m2-dat-view-lm81-gia-150trthang-r169788,"Cho thuê BT góc 2MT ven sông Q2, 430m² đất, view LM81, giá 150tr/tháng","Quận 2, Hồ Chí Minh",3600,430.0,7.0,,3.0,False,150.0
170022,https://batdongsan.vn/minh-cho-thue-nha-hai-cua-di-moi-pho-truc-bach-via-he-99m2-4t-31-tr-r170022,"Mình cho thuê nhà hai cửa đi, mới, Phố Trúc Bạch; vỉa hè 99m2* 4T- 31 Tr","Ba Đình, Hà Nội",3600,99.0,,,4.0,False,31.0
169917,https://batdongsan.vn/mat-bang-thong-suot-co-thang-may-khong-gian-mo-vcn-phuoc-hai-r169917,Mặt bằng thông suốt – Có thang máy – Không gian mở – VCN Phước Hải,"Nha Trang, Khánh Hòa",3600,160.0,2.0,2.0,3.0,False,40.0
169982,https://batdongsan.vn/44-nha-125-trieu-2-goc-mat-tien-khu-dan-cu-91b-r169982,"44. Nhà 12,5 triêụ 2 góc mặt tiền khu dân cư 91b","Ninh Kiều, Cần Thơ",3600,140.0,3.0,2.0,1.0,True,12.5
169986,https://batdongsan.vn/50-nha-25-trieu-16-phong-gan-dai-hoc-can-tho-r169986,50. Nhà 25 triệu 16 phòng gần Đại học Cần Thơ,"Ninh Kiều, Cần Thơ",3600,360.0,16.0,16.0,3.0,False,16.0
169883,https://batdongsan.vn/cho-thue-villa-11-phong-tai-da-lat-mat-tien-day-du-tien-nghi-r169883,"CHO THUÊ VILLA 11 phòng TẠI ĐÀ LẠT - MẶT TIỀN, ĐẦY ĐỦ TIỆN NGHI","Đà Lạt, Lâm Đồng",3600,200.0,11.0,12.0,4.0,True,0.0
170039,https://batdongsan.vn/cho-thue-nha-mat-tien-cho-tan-huong-72m2-18trieu-r170039,Cho thuê nhà  Mặt tiền CHỢ TÂN HƯƠNG 72m² - 18Triệu,"Tân Phú, Hồ Chí Minh",3600,72.0,3.0,2.0,,True,18.0
169955,https://batdongsan.vn/ban-nha-hem-1007-lac-long-quan-phuong-bay-hien-4x17m-nha-cap-4-tien-sua-gia-59-ty-tl-r169955,"Bán nhà hẻm 1007/ Lạc Long Quân, phường Bảy Hiền, 4x17m, nhà cấp 4 tiện sửa, giá 5.9 tỷ TL","Tân Bình, Hồ Chí Minh",3600,63.0,,,,False,5900.0
166111,https://batdongsan.vn/chinh-chu-cho-thue-phong-khep-kin-full-tien-nghi-tai-van-phuc-ha-dong-ha-noi-r166111,"CHÍNH CHỦ CHO THUÊ PHÒNG KHÉP KÍN FULL TIỆN NGHI TẠI VẠN PHÚC, HÀ ĐÔNG, HÀ NỘI","Hà Đông, Hà Nội",4320,30.0,1.0,1.0,,False,3.0
166287,https://batdongsan.vn/21-minihouse-moi-dep-full-noi-that-35-trieu-gan-cau-tra-noc-r166287,"21. Minihouse mới đẹp full nội thất 3,5 triệu gần cầu Trà Nóc","Bình Thủy, Cần Thơ",4320,25.0,1.0,1.0,,False,3.5
166290,https://batdongsan.vn/chinh-chu-cho-thue-nha-mat-pho-tran-thai-tong-cau-giay-ha-noi-r166290,"CHÍNH CHỦ CHO THUÊ NHÀ MẶT PHỐ TRẦN THÁI TÔNG, CẦU GIẤY, HÀ NỘI","Cầu Giấy, Hà Nội",4320,300.0,,,3.0,True,140.0
166061,https://batdongsan.vn/cho-thue-mat-bang-kinh-doanh-tiem-banh-ngot-do-an-sang-nhanh-tai-ha-dong-r166061,Cho Thuê Mặt Bằng Kinh Doanh Tiệm bánh ngọt – đồ ăn sáng nhanh tại Hà Đông,"Hà Đông, Hà Nội",4320,55.0,,6.0,,False,6.0
166368,https://batdongsan.vn/cho-thue-nha-moi-lo-goc-thang-mayvia-he-111m2-4t-hoang-cau-44-tr-r166368,"Cho thuê nhà mới, lô góc, thang máy,vỉa hè, 111m2- 4T, Hoàng Cầu_44 Tr","Đống Đa, Hà Nội",4320,111.0,,,4.0,False,44.0
166367,https://batdongsan.vn/cho-thue-nha-rieng-duc-giang-mat-tien-6m-phu-hop-kho-xuong-kinh-doanh-r166367,"CHO THUÊ NHÀ RIÊNG ĐỨC GIANG – MẶT TIỀN 6M – PHÙ HỢP KHO, XƯỞNG, KINH DOANH","Long Biên, Hà Nội",4320,50.0,1.0,2.0,,True,16.0
166178,https://batdongsan.vn/cho-thue-phong-tro-so-11-ngo-16223-bui-xuong-trach-thanh-xuan-gia-7-trieu-sieu-dep-r166178,"CHO THUÊ PHÒNG TRỌ – SỐ 11 NGÕ 1/62/23 BÙI XƯƠNG TRẠCH, THANH XUÂN GIÁ 7 TRIỆU SIÊU ĐẸP.,","Thanh Xuân, Hà Nội",4320,35.0,10.0,10.0,,False,6.0
166148,https://batdongsan.vn/minh-cho-thue-nha-moi-hai-cua-di-97m2-5t-via-he-minh-khai-29-tr-r166148,"Mình cho thuê nhà mới, hai cửa đi, 97m2_ 5T; vỉa hè, Minh Khai-29 Tr","Hai Bà Trưng, Hà Nội",4320,112.0,,,5.0,False,44.0
166146,https://batdongsan.vn/cho-thue-nha-mat-tien-thoai-ngoc-hau-72m2-ngang-72m-r166146,Cho thuê nhà Mặt Tiền Thoại Ngọc Hầu  72m² - NGANG 7.2M,"Tân Phú, Hồ Chí Minh",4320,72.0,1.0,1.0,,True,18.0
166074,https://batdongsan.vn/cho-thue-phong-tro-khep-kin-30m2-phu-do-nam-tu-liem-r166074,"CHO THUÊ PHÒNG TRỌ KHÉP KÍN 30M2 - PHÚ ĐÔ, NAM TỪ LIÊM","Nam Từ Liêm, Hà Nội",4320,30.0,1.0,1.0,,False,4.0
166066,https://batdongsan.vn/cho-thue-phong-khep-kin-tai-phu-do-nam-tu-liem-ha-noi-r166066,"CHO THUÊ PHÒNG KHÉP KÍN TẠI PHÚ ĐÔ, NAM TỪ LIÊM, HÀ NỘI","Nam Từ Liêm, Hà Nội",4320,1.0,1.0,1.0,,False,4.1
166308,https://batdongsan.vn/cho-thue-kho-xuong-400m2-thuy-phuong-dong-ngac-bac-tu-liem-ha-noi-r166308,"CHO THUÊ KHO XƯỞNG 400M2 – THỤY PHƯƠNG, ĐÔNG NGẠC, BẮC TỪ LIÊM – HÀ NỘI","Bắc Từ Liêm, Hà Nội",4320,400.0,,,,False,32.0
165963,https://batdongsan.vn/cho-thue-phong-tro-154-dinh-thon-nam-tu-liem-ha-noi-gia-6-trieu-r165963,"CHO THUÊ PHÒNG TRỌ – 154 ĐÌNH THÔN, NAM TỪ LIÊM – HÀ NỘI GIÁ 6 TRIỆU.,","Nam Từ Liêm, Hà Nội",4320,30.0,10.0,10.0,,False,6.0
